show_id,type_show,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description_show
1011,TV series,Familiar Wife,Indefinido,"Han Ji-min,Jang Seung-jo,Ji Sung,Kang Han-na",South Korea,2020-10-01,2018,TV-MA,1 seasons,"International TV Shows, Romantic TV Shows, TV Dramas","After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different."
1012,TV series,Food Wars!: Shokugeki no Soma,Indefinido,"Minami Takahashi,Natsuki Hanae,Risa Taneda,Shizuka Ishigami,Yoshitsugu Matsuoka",Japan,2020-10-01,2016,TV-MA,2 seasons,"Anime Series, International TV Shows, Teen TV Shows","Young chef Soma enters the prestigious Totsuki Culinary Academy, where he must emerge victorious in over-the-top cooking battles or face expulsion."
1013,movie,Thimmarusu,Indefinido,"Brahmaji,Priyanka Jawalkar,Satya Dev",India,2021-08-28,2021,TV-14,125 minutes,"Dramas, International Movies","Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
1014,movie,Free State of Jones,John Madden,"Christopher Berry,Gugu Mbatha-Raw,Keri Russell,Mahershala Ali,Matthew McConaughey",United States,2020-10-01,2016,R,139 minutes,"Action & Adventure, Dramas",A Mississippi farmer turns outlaw as he leads a ragtag band of fellow Civil War deserters and escaped slaves in a rebellion against the Confederacy.
1015,TV series,"Good Morning, Verônica",Indefinido,"Antonio Grassi,Camila Morgado,Eduardo Moscovis,Elisa Volpatto,Tainá Müller",Brazil,2020-10-01,2020,TV-MA,1 seasons,"Crime TV Shows, International TV Shows, TV Mysteries","While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it."
1016,movie,Human Nature,Edward James Olmos,Indefinido,United States,2020-10-01,2019,TV-14,95 minutes,Documentaries,"From breakthrough science to the boundaries of morality, this documentary spotlights a revelation in genetic modification research known as CRISPR."
1017,movie,Hunt for the Wilderpeople,Abhinay Deo,"Julian Dennison,Rachel House,Rima Te Wiata,Sam Neill,Tioreore Ngatai-Melbourne",New Zealand,2020-10-01,2016,PG-13,101 minutes,"Action & Adventure, Comedies, Dramas",A misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father.
1018,movie,Im Leaving Now,Kiran Rao,Indefinido,"United States, Mexico",2020-10-01,2019,TV-MA,75 minutes,"Documentaries, International Movies","In this evocative documentary, an undocumented immigrant plans to return to Mexico after 16 years but his family tells him he needs to stay in the US."
1019,TV series,Journey of an African Colony,Abbas Tyrewala,Olasupo Shasore,Indefinido,2020-10-01,2018,TV-MA,1 seasons,"Docuseries, International TV Shows",This docuseries delves into the untold stories and unsung heroes that paved Nigerias road to independence. Based on the books by host Olasupo Shasore.
102,TV series,Dive Club,"Chapman Way, Maclain Way","Aubri Ibrag,Georgia-May Davis,Mercy Cornwall,Miah Madden,Sanaa Shaik",Australia,2021-09-03,2021,TV-G,1 seasons,"Kids TV, TV Dramas, Teen TV Shows","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
1020,TV series,Oktoberfest: Beer & Blood,Ashutosh Gowariker,"Klaus Steinbacher,Martina Gedeck,Maximilian Brückner,Mercedes Müller,Mišel Matičević","Germany, Czech Republic",2020-10-01,2020,TV-MA,1 seasons,"International TV Shows, TV Dramas","In 1900 Munich, ambitious brewer Curt Prank uses brutal tactics on his quest to build a beer hall that will dominate the citys lucrative Oktoberfest."
1021,movie,Rize,Satyajit Bhatkal,"Tight Eyez,Tommy the Clown","United States, United Kingdom",2020-10-01,2005,PG-13,87 minutes,"Documentaries, Music & Musicals","This documentary explores ""krumping,"" a fast-paced urban dance, and follows the man that originated the phenomenon in South Central Los Angeles."
1022,TV series,Secreto bien guardado,"Anusha Rizvi, Mahmood Farooqui","Matías Mayer,Noemí Frenkel,Oriana Sabatini,Paula Sartor,Victorio DAlessandro",Argentina,2020-10-01,2019,TV-MA,1 seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel."
1023,TV series,Sword Art Online,Aamir Khan,"Ayana Taketatsu,Haruka Tomatsu,Kanae Ito,Rina Hidaka,Yoshitsugu Matsuoka",Japan,2020-10-01,2018,TV-MA,3 seasons,"Anime Series, International TV Shows",A video game whiz helps create a new technology that enables players to guide their online avatars with their own bodies – but a dark twist emerges.
1024,movie,Wind River,"Shashank Khaitan, Raj Mehta, Neeraj Ghaywan, Kayoze Irani","Elizabeth Olsen,Gil Birmingham,Jeremy Renner,Jon Bernthal,Kelsey Asbille","United Kingdom, Canada, United States",2021-08-28,2017,R,107 minutes,"Dramas, Independent Movies",A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent whos investigating a teen girls murder on a remote Wyoming reservation.
1025,movie,The American Game,Ryan Crego,"Ahmed Fahmi,Bayoumi Fouad,Entsar,Nahed El Sebaï,Shaima Saif",Indefinido,2020-10-01,2019,TV-PG,91 minutes,"Comedies, International Movies, Romantic Movies",A financially struggling young couples relationship is tested when the CEO of the company they work for tempts them with a nearly irresistible offer.
1026,movie,The Book of Sun,Indefinido,"Ahmed Saddam,Baraa Alem,Ismail Alhassan,Nawaf Alshubaili,Sohayb Godus",Saudi Arabia,2020-10-01,2020,TV-14,120 minutes,"Comedies, Independent Movies, International Movies","A high school senior sets out to make a no-budget horror film with his friend, one-time rival and teacher, but the project soon jeopardizes their future."
1027,movie,The Outpost,Cassi Simonds,"Caleb Landry Jones,Cory Hardrict,Jack Kesy,Orlando Bloom,Scott Eastwood","United States, Bulgaria",2020-10-01,2020,R,123 minutes,"Action & Adventure, Dramas",A group of vastly outnumbered U.S. soldiers at a remote Afghanistan base must fend off a brutal offensive by Taliban fighters in the Battle of Kamdesh.
1028,TV series,The Parkers,Guillermo del Toro,"Countess Vaughn,Dorien Wilson,Jenna von Oÿ,Ken Lawson,MoNique",United States,2020-10-01,2003,TV-PG,5 seasons,TV Comedies,"In this ""Moesha"" spinoff, undergraduate Kim is joined at Santa Monica College by her mother Nikki, who decides to go back to school with her daughter."
1029,TV series,The Unicorn,Indefinido,"Maya Lynne Robinson,Michaela Watkins,Omar Benson Miller,Rob Corddry,Walton Goggins",United States,2020-10-01,2019,TV-14,1 seasons,"TV Comedies, TV Dramas","A widowed father of two girls navigates the world of dating, surprised to learn that many women consider him a hot commodity."
103,movie,Two Distant Strangers,Jason Hehir,"Andrew Howard,Joey Bada$$,Zaria",United States,2021-04-09,2021,TV-MA,32 minutes,Dramas,"In this Oscar-nominated short film, a man trying to go home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop."
1030,movie,We Have Always Lived in the Castle,Tony Abulu,"Alexandra Daddario,Crispin Glover,Paula Malcomson,Sebastian Stan,Taissa Farmiga",United States,2020-10-01,2018,TV-14,95 minutes,"Dramas, Thrillers",The fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune.
1031,TV series,You Cannot Hide,Mae Czarina Cruz,"Blanca Soto,Eduardo Noriega,Iván Sánchez,Maribel Verdú,Samantha Siqueiros",Mexico,2020-10-01,2020,TV-MA,1 seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","A nurse and her daughter flee her husband’s drug-trafficking past in Mexico and assume new identities in Spain, but still face danger in Madrid."
1032,movie,American Murder: The Family Next Door,Stefan Westerwelle,Indefinido,United States,2020-09-30,2020,TV-MA,84 minutes,Documentaries,"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed."
1033,movie,Baxu and the Giants,Indefinido,"Anna Louw,Ashwyn Mberi,Camilla Jo-Ann Daries,Steven Afrikaner,Wafeeq Narimab",Namibia,2020-09-30,2019,TV-PG,29 minutes,"Dramas, International Movies",A young girl grows increasingly concerned about the rhino poaching in her village when it begins to directly impact her impoverished family.
1034,TV series,Black Butler,Ron Howard,"Daisuke Ono,Emiri Kato,Hiroki Touchi,Maaya Sakamoto,Yuki Kaji",Japan,2020-09-30,2010,TV-MA,3 seasons,"Anime Series, International TV Shows","In Victorian London, 12-year-old business magnate Ciel Phantomhive thwarts dangers to the queen as hes watched over by his demon butler, Sebastian."
1035,movie,C Kkompany,"Justin Benson, Aaron Moorhead","Anupam Kher,Mithun Chakraborty,Raima Sen,Rajpal Yadav,Tusshar Kapoor",India,2021-08-27,2008,TV-14,127 minutes,"Action & Adventure, Comedies, International Movies","Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
1036,TV series,Man with a Plan,Niki Caro,"Grace Kaufman,Hala Finley,Liza Snyder,Matt LeBlanc,Matthew McCann",United States,2020-09-30,2020,TV-PG,4 seasons,TV Comedies,"When his wife Andi returns to work, contractor Adam Burns becomes a stay-at-home dad and discovers that parenting is a tougher job than he realized."
1037,movie,Poacher,"Mark Dennis, Ben Foster","Brian Ogola,Davina Leonard,Lenny Juma,Olwenya Maina,Shiviske Shivisi","United Kingdom, Kenya",2020-09-30,2018,TV-MA,28 minutes,"Dramas, International Movies, Thrillers",A daring farmer steals illicit ivory from a group of international terrorists and must elude their dangerous and deadly games.
1038,movie,The Boys in the Band,Taranveer Singh,"Andrew Rannells,Charlie Carver,Jim Parsons,Matt Bomer,Zachary Quinto",United States,2020-09-30,2020,R,122 minutes,"Dramas, LGBTQ Movies","At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths."
1039,movie,The Boys in the Band: Something Personal,Indefinido,"Andrew Rannells,Charlie Carver,Jim Parsons,Matt Bomer,Zachary Quinto",United States,2020-09-30,2020,TV-MA,28 minutes,"Documentaries, LGBTQ Movies","Decades after his play first put gay life center stage, Mart Crowley joins the cast and crew of the 2020 film to reflect on the storys enduring legacy."
104,movie,Story of Kale: When Someones in Love,Yemi Amodu,"Ardhito Pramono,Arya Saloka,Aurélie Moeremans,Gilbert Pohan,Roy Sungkono",Indonesia,2021-04-08,2020,TV-PG,78 minutes,"Dramas, International Movies, Romantic Movies","After leaving a toxic relationship, Dinda embarks on a romance with Kale, whose view on love soon shatters as he wrestles with his own insecurities."
1040,TV series,Wentworth,TT The Artist,"Celia Ireland,Danielle Cormack,Kate Atkinson,Nicole da Silva,Shareena Clanton",Australia,2020-09-30,2020,TV-MA,8 seasons,"Crime TV Shows, TV Dramas",Bea Smith is locked up while awaiting trial for the alleged attempted murder of her husband and must learn how life works in prison.
1041,movie,Bully,Indefinido,Indefinido,United States,2020-09-29,2012,PG-13,98 minutes,Documentaries,This eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.
1042,movie,Michelle Buteau: Welcome to Buteaupia,"Keiichi Sato, Yasushi Kawamura",Michelle Buteau,United States,2020-09-29,2020,TV-MA,59 minutes,Stand-Up Comedy,"Scene-stealing queen Michelle Buteau dazzles with real talk on relationships, parenthood, cultural differences and the government workers who adore her."
1043,movie,Welcome to Sudden Death,Glenn Weiss,"Lyric Justice,Michael Eklund,Michael Jai White,Nakai Takawira,Sabryn Rock",United States,2020-09-29,2020,R,80 minutes,Action & Adventure,"At a basketball game, an ex-Special Forces officer must face a group of tech-savvy hostiles when a team owner and his daughter are taken hostage."
1044,movie,Amandla! A Revolution in Four Part Harmony,Indefinido,"Abdullah Ibrahim,Duma Ka Ndlovu,Hugh Masekela,Miriam Makeba,Sibongile Khumalo","South Africa, United States",2020-09-28,2002,PG-13,103 minutes,"Documentaries, International Movies, Music & Musicals",This documentary recounts the fascinating and little-known role that music has played in the struggle to eradicate apartheid in South Africa.
1045,movie,Ankhon Dekhi,Indefinido,"Maya Sarao,Rajat Kapoor,Sanjay Mishra,Seema Pahwa,Taranjit Kaur",India,2020-09-28,2013,TV-PG,104 minutes,"Dramas, Independent Movies, International Movies","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
1046,TV series,D.P.,Indefinido,"Jung Hae-in,Kim Sung-kyun,Koo Kyo-hwan,Son Suk-ku",", South Korea",2021-08-27,2021,TV-MA,1 seasons,"International TV Shows, TV Dramas",A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.
1047,movie,Dedh Ishqiya,Michael Civille,"Arshad Warsi,Huma Qureshi,Madhuri Dixit,Naseeruddin Shah,Vijay Raaz",India,2020-09-28,2014,TV-14,146 minutes,"Comedies, Dramas, International Movies","After failing to win the heart of an aristocrats widow, a thief plans to abduct her, only to discover that there are others with the same idea."
1048,movie,Golmaal Returns,Indefinido,"Ajay Devgn,Arshad Warsi,Kareena Kapoor,Shreyas Talpade,Tusshar Kapoor",India,2020-09-28,2008,TV-MA,135 minutes,"Comedies, International Movies, Music & Musicals",A mans relationship with his jealous wife enters choppy waters after he has to spend a night on a yacht with a woman hes rescued from gangsters.
1049,movie,Ishq Vishk,Indefinido,"Amrita Rao,Kapil Jhaveri,Shahid Kapoor,Shenaz Treasury,Vishal Malhotra",India,2020-09-28,2003,TV-PG,129 minutes,"Comedies, International Movies, Music & Musicals","When the duplicitous Rajiv expresses his love for Payal, a cruel lie kicks off a story of self-discovery and unexpected romance."
105,TV series,The Way of the Househusband,Indefinido,"Jun Fukushima,Kazuyuki Okitsu,Kenjiro Tsuda,M・A・O,Shizuka Ito",Japan,2021-04-08,2021,TV-MA,1 seasons,"Anime Series, International TV Shows","After disappearing from the underworld, the legendary yakuza Tatsu, ""the Immortal Dragon,"" resurfaces — as a fiercely devoted stay-at-home husband."
1050,movie,Ishqiya,Indefinido,"Anupama Kumar,Arshad Warsi,Naseeruddin Shah,Salman Shahid,Vidya Balan",India,2020-09-28,2009,TV-14,115 minutes,"Comedies, International Movies, Romantic Movies",A deceitful woman seduces two of her late husband’s crooked friends into helping her hatch a nefarious kidnapping plot for a hefty ransom.
1051,movie,Jab We Met,Ryuichi Hiroki,"Dara Singh,Kareena Kapoor,Pavan Malhotra,Shahid Kapoor,Tarun Arora",India,2020-09-28,2007,TV-14,143 minutes,"Comedies, International Movies, Music & Musicals",Changing fortunes await a wealthy but dejected industrialist when he meets a spirited chatterbox on a train in this breezy Bollywood romantic comedy.
1052,movie,Mann,Indefinido,"Aamir Khan,Dalip Tahil,Dipti Bhatnagar,Manisha Koirala,Sharmila Tagore",India,2020-09-28,1999,TV-14,173 minutes,"Dramas, International Movies, Romantic Movies","A smooth talker falls for a music teacher aboard a cruise, but a cruel twist of fate hinders their plans to meet again months later."
1053,movie,Manorama Six Feet Under,Paul Thomas Anderson,"Abhay Deol,Gul Panag,Kulbhushan Kharbanda,Raima Sen,Sarika",India,2020-09-28,2007,TV-14,129 minutes,"Dramas, International Movies, Thrillers","A government employee and aspiring crime writer, who is under investigation for corruption, is asked by a politicians wife to spy on her husband."
1054,movie,Welcome,One9,"Akshay Kumar,Anil Kapoor,Katrina Kaif,Nana Patekar,Paresh Rawal",India,2020-09-28,2007,TV-PG,149 minutes,"Comedies, International Movies, Music & Musicals","In this silly Bollywood farce, the brothers of a Mafia princess set out on a comical mission to marry their sister into a respectable family."
1055,TV series,"Whose Vote Counts, Explained",Adriano Rudiman,Indefinido,United States,2020-09-28,2020,TV-PG,1 seasons,Docuseries,"The right to vote is at the foundation of Americas democracy. But not every vote is created equal. How does the system work, and can it be fixed?"
1056,TV series,Van Helsing,Luis Valdez,"Christopher Heyerdahl,David Cubitt,Jonathan Scarfe,Kelly Overton,Paul Johansson",United States,2020-09-27,2019,TV-MA,4 seasons,"International TV Shows, TV Action & Adventure, TV Dramas","After three years in a coma, Vanessa awakens to a world ravaged by vampires. Now, she and a motley band of fellow survivors fight to stay alive."
1057,TV series,Deadly Sins,Indefinido,"Chela del Río,Frank Ramirez,María José Martínez,Patricia Castañeda,Patrick Delmas",Indefinido,2021-08-27,2002,TV-MA,1 seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas",A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see whos worthy of inheriting his fortune.
1058,TV series,The Good Place,Indefinido,"DArcy Carden,Jameela Jamil,Kristen Bell,Ted Danson,William Jackson Harper",United States,2020-09-26,2020,TV-14,4 seasons,TV Comedies,"Due to an error, self-absorbed Eleanor Shellstrop arrives at the Good Place after her death. Determined to stay, she tries to become a better person."
1059,movie,Time Out,Indefinido,"Aditya Jain,Chirag Malhotra,Kaamya Sharma,Pranay Pachauri,Riya Kothari",India,2020-09-26,2015,TV-14,98 minutes,"Dramas, Independent Movies, International Movies","Raised in the privileged bubble of Delhis elite, a teen is compelled to question his outlook on life and love when his older brother comes out as gay."
106,movie,Dolly Parton: A MusiCares Tribute,Lijo Jose Pellissery,Dolly Parton,Indefinido,2021-04-07,2021,TV-PG,55 minutes,"Documentaries, Music & Musicals","In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year."
1060,TV series,A Perfect Crime,Indefinido,Indefinido,Germany,2020-09-25,2020,TV-14,1 seasons,"Crime TV Shows, Docuseries, International TV Shows","This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germanys tumultuous reunification."
1061,TV series,Mighty Little Bheem,Indefinido,Indefinido,Indefinido,2020-09-25,2020,TV-Y,3 seasons,"Kids TV, TV Comedies",An innocent toddler’s boundless curiosity – and extraordinary might – lead to mischief and adventure in his small Indian town.
1062,movie,My Mothers Wound,Indefinido,"Belçim Bilgin,Bora Akkaş,Meryem Uzerli,Okan Yalabık,Ozan Güven",Indefinido,2020-09-25,2016,TV-MA,115 minutes,"Dramas, International Movies","After leaving the orphanage where he was raised, a teen searches for his family only to find work at a farm, where secrets of the past begin to surface."
1063,TV series,Sneakerheads,Indefinido,"Allen Maldonado,Andrew Bachelor,Jearnest Corchado,Matthew Josten,Yaani King Mondschein",United States,2020-09-25,2020,TV-MA,1 seasons,TV Comedies,Family man Devin falls back into his sneaker obsession after his pal Bobby talks him into a wheeling-dealing scheme to score a mythical pair of kicks.
1064,TV series,The School Nurse Files,Indefinido,"Jung Yu-mi,Nam Joo-hyuk",South Korea,2020-09-25,2020,TV-MA,1 seasons,"International TV Shows, TV Dramas, TV Mysteries","Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see."
1065,movie,Zulu Man in Japan,Indefinido,Nasty C,Indefinido,2020-09-25,2019,TV-MA,44 minutes,"Documentaries, International Movies, Music & Musicals","In this documentary, South African rapper Nasty C hits the stage and streets of Tokyo, introducing himself to the citys sights, sounds and culture."
1066,movie,Real Steel,Indefinido,"Anthony Mackie,Dakota Goyo,Evangeline Lilly,Hugh Jackman,Kevin Durand","United States, India",2020-09-24,2011,PG-13,127 minutes,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies",A struggling fighter-turned-promoter reconnects with his estranged son to convert an old-generation robot into a mighty World Robot Boxing contender.
1067,TV series,The Chef Show,Cheng Wei-hao,"Jon Favreau,Roy Choi",United States,2020-09-24,2020,TV-MA,4 seasons,Docuseries,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends."
1068,movie,EMI: Liya Hai To Chukana Padega,Pass Patthanakumjon,"Aashish Chaudhary,Arjun Rampal,Malaika Arora,Neha Uberoi,Sanjay Dutt",India,2021-08-27,2008,TV-14,128 minutes,"Comedies, Dramas, International Movies",A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
1069,movie,Enola Holmes,Indefinido,"Helena Bonham Carter,Henry Cavill,Louis Partridge,Millie Bobby Brown,Sam Claflin",United Kingdom,2020-09-23,2020,PG-13,124 minutes,"Action & Adventure, Children & Family Movies, Dramas","While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord."
107,TV series,The Big Day,Indefinido,Indefinido,India,2021-04-07,2021,TV-14,2 seasons,"International TV Shows, Reality TV, Romantic TV Shows","For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry."
1070,movie,Kiss the Ground,Buchi Babu Sana,Woody Harrelson,United States,2020-09-22,2020,TV-G,85 minutes,Documentaries,Science experts and celebrity activists unpack the ways in which the earths soil may be the key to combating climate change and preserving the planet.
1071,TV series,The Playbook,Fredrick Munk,Indefinido,United States,2020-09-22,2020,TV-MA,1 seasons,Docuseries,Coaches with championship résumés share their personal rules for success in sports and life in this reflective and inspiring documentary series.
1072,movie,A Love Song for Latasha,Suhas Kadav,Indefinido,United States,2020-09-21,2020,TV-PG,20 minutes,Documentaries,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-olds life and dreams.
1073,movie,DTC Yukemuri Junjo Hen From High & Low,Suhas Kadav,"Kanta Sato,Kenjiro Yamashita,Kousei Amano,Masayasu Yagi,Taiki Sato",Japan,2020-09-20,2018,TV-PG,102 minutes,"Dramas, International Movies","Dan, Tettsu and Chiharu leave the battles of the SWORD district behind for a carefree road trip adventure and end up working in a hot spring resort."
1074,movie,High & Low The Movie,Suhas Kadav,"Akira,Hiroomi Tosaka,Sho Aoyagi,Takahiro,Takanori Iwata",Japan,2020-09-20,2016,TV-MA,129 minutes,"Action & Adventure, International Movies",The five rival gangs ruling the SWORD district unite to face off against a 500-member strong attack led by a legendary gang leader.
1075,movie,High & Low The Movie 2 / End of Sky,Suhas Kadav,"Aoi Nakamura,Keiji Kuroki,Masataka Kubota,Takanori Iwata,Yuki Yamada",Japan,2020-09-20,2017,TV-MA,124 minutes,"Action & Adventure, International Movies","The peaceful truce in the SWORD district is violently disrupted by the intrusion of two brutal gangs, causing loyalties and rivalries to erupt."
1076,movie,High & Low The Movie 3 / Final Mission,"Moyoung Jin, Caroline Sá, Deepti Kakkar, Fahad Mustafa, Hikaru Toda, Chico Pereira, Elaine McMillion Sheldon","Akira,Hiroomi Tosaka,Masataka Kubota,Takahiro,Takanori Iwata",Japan,2020-09-20,2017,TV-MA,118 minutes,"Action & Adventure, International Movies","The Kuryu Group makes it their mission to takeover the SWORD district once and for all, but the street gang alliance has a plan of their own."
1077,movie,High & Low The Red Rain,Suhas Kadav,"Hiroomi Tosaka,Ken Ishiguro,Miyu Yoshimoto,Takahiro,Takumi Saitoh",Japan,2020-09-20,2016,TV-MA,111 minutes,"Action & Adventure, International Movies","As the two younger Amamiya boys search for their missing big brother, they uncover the truth about the tragedy that befell their family years ago."
1078,movie,High & Low The Worst,Suhas Kadav,"Goki Maeda,Hokuto Yoshino,Jun Shison,Kazuma Kawamura,Yuki Yamada",Indefinido,2020-09-20,2019,TV-MA,125 minutes,"Action & Adventure, International Movies",The street fighters of Oya High go up against the delinquent brawlers of Housen Academy in this action-packed “High & Low” and “Crows” crossover.
1079,movie,Hes All That,Suhas Kadav,"Addison Rae,Isabella Crovetti,Madison Pettis,Rachael Leigh Cook,Tanner Buchanan",Indefinido,2021-08-27,2021,TV-14,92 minutes,"Comedies, Romantic Movies","An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""Shes All That."""
108,TV series,The Wedding Coach,David de Vos,Indefinido,Indefinido,2021-04-07,2021,TV-MA,1 seasons,"Reality TV, Romantic TV Shows",Former bride and forever comedian Jamie Lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds.
