id_show_catalog,title_show,rating,listed_in,duration,duration_type_id
95,Dont be the First one,TV-14,"International TV Shows, Reality TV",1,2
96,The Stand-In,R,Comedies,102,1
97,Heaven Officials Blessing,TV-14,"Anime Series, International TV Shows, Romantic TV Shows",1,2
98,Night in Paradise,TV-MA,"Dramas, International Movies",132,1
99,Ojukokoro: Greed,TV-MA,"Dramas, International Movies, Thrillers",108,1
100,Roohi,TV-14,"Comedies, Horror Movies, International Movies",133,1
101,Thunder Force,PG-13,"Action & Adventure, Comedies",107,1
102,Dive Club,TV-G,"Kids TV, TV Dramas, Teen TV Shows",1,2
103,Two Distant Strangers,TV-MA,Dramas,32,1
104,Story of Kale: When Someones in Love,TV-PG,"Dramas, International Movies, Romantic Movies",78,1
105,The Way of the Househusband,TV-MA,"Anime Series, International TV Shows",1,2
106,Dolly Parton: A MusiCares Tribute,TV-PG,"Documentaries, Music & Musicals",55,1
107,The Big Day,TV-14,"International TV Shows, Reality TV, Romantic TV Shows",2,2
108,The Wedding Coach,TV-MA,"Reality TV, Romantic TV Shows",1,2
109,This Is a Robbery: The Worlds Biggest Art Heist,TV-MA,"Crime TV Shows, Docuseries, TV Mysteries",1,2
110,The Last Kids on Earth: Happy Apocalypse to You,TV-Y7,"Children & Family Movies, Comedies",92,1
111,Coded Bias,TV-MA,Documentaries,86,1
112,Mandela,TV-14,"Comedies, Dramas, International Movies",140,1
113,"Vendetta: Truth, Lies and The Mafia",TV-MA,"Crime TV Shows, Docuseries, International TV Shows",1,2
114,La casa de papel,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",5,2
115,The Fishermans Diary,TV-MA,"Dramas, International Movies",143,1
116,What Lies Below,TV-MA,"Horror Movies, Thrillers",88,1
117,Escape from Planet Earth,PG,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",89,1
118,Accepted,PG-13,Comedies,93,1
119,Air Strike,R,"Action & Adventure, Dramas, International Movies",97,1
120,An American Girl: McKenna Shoots for the Stars,TV-Y,"Children & Family Movies, Comedies, Dramas",94,1
121,Concrete Cowboy,R,"Dramas, Independent Movies",112,1
122,Cross: Rise of the Villains,R,Action & Adventure,100,1
123,God Calling,TV-MA,"Dramas, Faith & Spirituality, International Movies",120,1
124,Irul,TV-MA,"International Movies, Thrillers",91,1
125,Money Heist: From Tokyo to Berlin,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",1,2
126,Just Say Yes,TV-MA,"Comedies, International Movies, Romantic Movies",98,1
127,Madame Claude,TV-MA,"Dramas, International Movies",113,1
128,Wild Child,PG-13,"Comedies, Romantic Movies",98,1
129,Woody Woodpecker,PG,"Children & Family Movies, Comedies",91,1
130,2012,PG-13,"Action & Adventure, Sci-Fi & Fantasy",158,1
131,3 Idiots,PG-13,"Comedies, Dramas, International Movies",164,1
132,Ferrari Ki Sawaari,TV-PG,"Comedies, International Movies, Sports Movies",133,1
133,Glimpses of a Future,TV-PG,"Docuseries, International TV Shows",1,2
134,Ibrahim a Fate to Define,TV-PG,"Documentaries, International Movies",75,1
135,Insidious,PG-13,"Horror Movies, Thrillers",103,1
136,Sharkdog,TV-Y,Kids TV,1,2
137,Into the Grizzly Maze,R,"Action & Adventure, Horror Movies",90,1
138,Kingsglaive: Final Fantasy XV,PG-13,"Action & Adventure, Sci-Fi & Fantasy",116,1
139,Legally Blonde,PG-13,"Comedies, Romantic Movies",96,1
140,Madam Chief Minister,TV-14,"Dramas, International Movies",121,1
141,Magical Andes,TV-G,"Docuseries, International TV Shows, Science & Nature TV",2,2
142,Maximum Risk,R,Action & Adventure,101,1
143,Murder Maps,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",2,2
144,My Fair Lady,G,"Classic Movies, Music & Musicals",173,1
145,Prank Encounters,TV-MA,"Reality TV, TV Comedies, TV Horror",2,2
146,S.W.A.T.: Under Siege,R,"Action & Adventure, International Movies",89,1
147,Worth,PG-13,Dramas,119,1
148,Secrets of Great British Castles,TV-PG,"British TV Shows, Docuseries, International TV Shows",2,2
149,Seven Souls in the Skull Castle: Season Bird,TV-14,"Action & Adventure, Dramas, International Movies",182,1
150,Seven Souls in the Skull Castle: Season Flower,TV-14,"Action & Adventure, Dramas, International Movies",181,1
151,Seven Souls in the Skull Castle: Season Wind,TV-14,"Action & Adventure, Dramas, International Movies",185,1
152,Sniper: Ghost Shooter,R,Action & Adventure,99,1
153,Starship Troopers: Traitor of Mars,R,"Action & Adventure, Sci-Fi & Fantasy",88,1
154,Takers,PG-13,Action & Adventure,107,1
155,Tersanjung the Movie,TV-14,"Dramas, International Movies, Romantic Movies",114,1
156,The Knight and the Princess,TV-PG,"Action & Adventure, International Movies, Music & Musicals",96,1
157,The Pianist,R,"Dramas, Independent Movies, International Movies",149,1
158,Afterlife of the Party,TV-PG,"Comedies, Romantic Movies",110,1
159,The Stepfather,PG-13,"Horror Movies, Thrillers",102,1
160,Universal Soldier: The Return,R,Action & Adventure,83,1
161,Wazir,TV-14,"Dramas, International Movies, Thrillers",98,1
162,White Boy,TV-MA,Documentaries,83,1
163,Worn Stories,TV-MA,"Docuseries, Reality TV",1,2
164,Yes Man,PG-13,"Comedies, Romantic Movies",104,1
165,At Eternitys Gate,PG-13,Dramas,111,1
166,Haunted: Latin America,TV-14,"International TV Shows, Reality TV, Spanish-Language TV Shows",1,2
167,Not a Game,TV-MA,"Documentaries, International Movies, Sports Movies",98,1
168,Robocar Poli,TV-Y,"Kids TV, Korean TV Shows",2,2
169,Anjaam,TV-14,"Dramas, International Movies, Thrillers",143,1
170,Yu-Gi-Oh!,TV-Y7,"Anime Series, Kids TV",1,2
171,7 Yards: The Chris Norton Story,TV-PG,Documentaries,93,1
172,Octonauts & the Ring of Fire,TV-Y,Children & Family Movies,73,1
173,Rainbow High,TV-Y,Kids TV,1,2
174,Mandela: Long Walk to Freedom,PG-13,"Dramas, International Movies",141,1
175,Lawless,R,Dramas,116,1
176,Marked,TV-PG,"Documentaries, International Movies",21,1
177,A Week Away,TV-PG,"Children & Family Movies, Faith & Spirituality, Music & Musicals",98,1
178,Bad Trip,TV-MA,Comedies,87,1
179,Big Time Rush,TV-G,Kids TV,4,2
180,Bright Star,PG,"Dramas, Romantic Movies",119,1
181,Black Is Beltza,TV-MA,"Dramas, International Movies",87,1
182,Croupier,TV-MA,"Dramas, Independent Movies, Thrillers",95,1
183,Elizabeth and Margaret: Love and Loyalty,TV-PG,Documentaries,87,1
184,Keeping the Bees,TV-14,"Dramas, International Movies",93,1
185,Magic for Humans Spain,TV-MA,"International TV Shows, Reality TV, Spanish-Language TV Shows",1,2
186,Ni de coña,TV-MA,"Comedies, International Movies",97,1
187,Pagglait,TV-PG,"Comedies, Dramas, International Movies",114,1
188,The Irregulars,TV-14,"British TV Shows, Crime TV Shows, International TV Shows",1,2
189,Caught by a Wave,TV-14,"Dramas, International Movies, Romantic Movies",100,1
190,DOTA: Dragons Blood,TV-MA,Anime Series,1,2
191,Dhanak,TV-PG,"Comedies, Dramas, Independent Movies",114,1
192,Pui Pui Molcar,TV-Y7,Kids TV,1,2
193,Secret Magic Control Agency,TV-Y7,"Children & Family Movies, Comedies",105,1
194,Seaspiracy,TV-14,Documentaries,90,1
195,Loyiso Gola: Unlearning,TV-MA,Stand-Up Comedy,60,1
196,Men on a Mission,TV-14,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",6,2
197,Navillera,TV-14,"International TV Shows, TV Dramas",1,2
198,Philomena,PG-13,"Dramas, Independent Movies, International Movies",98,1
199,Any Crybabies Around?,TV-MA,"Dramas, International Movies",108,1
200,Hospital,TV-MA,"Horror Movies, International Movies",90,1
201,Jiu Jitsu,R,Action & Adventure,102,1
202,Final Account,PG-13,Documentaries,94,1
203,Mighty Morphin Power Rangers,TV-Y7,Kids TV,4,2
204,Alien TV,TV-Y7,"Kids TV, TV Comedies",2,2
205,Country Comfort,TV-PG,TV Comedies,1,2
206,Formula 1: Drive to Survive,TV-MA,Docuseries,3,2
207,Reframe THEATER EXPERIENCE with you,TV-G,"International Movies, Music & Musicals",84,1
208,The Yin Yang Master,TV-14,"Action & Adventure, International Movies",120,1
209,Whos the Boss,TV-MA,"Comedies, International Movies, Romantic Movies",106,1
210,B: The Beginning,TV-MA,"Anime Series, Crime TV Shows, International TV Shows",2,2
211,Deadly Illusions,R,Thrillers,115,1
212,Get the Goat,TV-14,"Action & Adventure, Comedies, International Movies",98,1
213,Gurgaon,TV-14,"Dramas, International Movies, Thrillers",106,1
214,Nate Bargatze: The Greatest Average American,TV-G,Stand-Up Comedy,60,1
215,Skylines,R,Action & Adventure,113,1
216,The Fluffy Movie,PG-13,Stand-Up Comedy,101,1
217,The Present,TV-MA,"Dramas, International Movies",24,1
218,Wave of Cinema: 90s Generation,TV-PG,"Documentaries, International Movies, Music & Musicals",51,1
219,Catch.er,TV-14,"Dramas, International Movies, Thrillers",80,1
220,Operation Varsity Blues: The College Admissions Scandal,R,Documentaries,100,1
221,Under Suspicion: Uncovering the Wesphael Case,TV-14,"Crime TV Shows, Docuseries, International TV Shows",1,2
222,Get on Up,PG-13,"Dramas, Music & Musicals",139,1
223,RebellComedy: Straight Outta the Zoo,TV-MA,Stand-Up Comedy,74,1
224,Bangkok Breaking,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",1,2
225,Here and There,TV-MA,"Dramas, International Movies, Romantic Movies",99,1
226,Savages,R,"Dramas, Thrillers",131,1
227,Waffles + Mochi,TV-Y,Kids TV,1,2
228,Abla Fahita: Drama Queen,TV-14,"Crime TV Shows, International TV Shows, TV Comedies",1,2
229,C/O Kaadhal,TV-14,"Dramas, International Movies, Romantic Movies",131,1
230,The BFG,PG,"Children & Family Movies, Dramas",118,1
231,The Last Blockbuster,TV-14,Documentaries,87,1
232,The Lost Pirate Kingdom,TV-MA,"Docuseries, Science & Nature TV, TV Action & Adventure",1,2
233,Zero Chill,TV-G,"British TV Shows, Kids TV, TV Dramas",1,2
234,Audrey,TV-14,Documentaries,101,1
235,Çarsi Pazar,TV-MA,"Comedies, International Movies",97,1
236,Heroes of Goo Jit Zu,TV-Y7,"Kids TV, TV Comedies",1,2
237,Just In Time,TV-G,"Comedies, Dramas, International Movies",92,1
238,Love Alarm,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",2,2
239,Mucize,TV-14,"Dramas, International Movies",136,1
240,Paper Lives,TV-MA,"Dramas, International Movies",97,1
241,Paradise PD,TV-MA,TV Comedies,3,2
242,Quiet,TV-MA,"Dramas, International Movies, Music & Musicals",103,1
243,Romantik Komedi,TV-MA,"Comedies, International Movies, Romantic Movies",110,1
244,Romantik Komedi 2: Bekarlığa Veda,TV-MA,"Comedies, International Movies, Romantic Movies",105,1
245,The One,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",1,2
246,YES DAY,PG,"Children & Family Movies, Comedies",90,1
247,Hotel Del Luna,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",1,2
248,Youre Everything To Me,TV-PG,"Comedies, Dramas, Independent Movies",107,1
249,Coven of Sisters,TV-MA,"Dramas, Independent Movies, International Movies",92,1
250,Generasi 90an: Melankolia,TV-14,"Dramas, International Movies",94,1
251,The Block Island Sound,TV-MA,"Horror Movies, Independent Movies",99,1
252,Dealer,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",1,2
253,Last Chance U: Basketball,TV-MA,Docuseries,1,2
254,Marriage or Mortgage,TV-G,"Reality TV, Romantic TV Shows",1,2
255,The Houseboat,TV-14,"Docuseries, International TV Shows",1,2
256,Bombay Begums,TV-MA,"International TV Shows, TV Dramas",1,2
257,Bombay Rose,PG-13,"Dramas, Independent Movies, International Movies",97,1
258,In the Cut,R,Thrillers,118,1
259,My Way,TV-14,"International TV Shows, TV Dramas",1,2
260,Aelay,TV-14,"Comedies, Dramas, Independent Movies",151,1
261,City of Ghosts,TV-Y7,Kids TV,1,2
262,Dogwashers,TV-MA,"Comedies, Dramas, International Movies",108,1
263,Fate of Alakada,TV-14,"Comedies, International Movies",113,1
264,Nevenka: Breaking the Silence,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",1,2
265,Pokémon Journeys: The Series,TV-Y7,"Anime Series, Kids TV, TV Action & Adventure",4,2
266,Sentinelle,TV-MA,"Action & Adventure, Dramas, International Movies",81,1
267,Mariposa,TV-14,"Comedies, International Movies, Romantic Movies",116,1
268,Pacific Rim: The Black,TV-14,Anime Series,1,2
269,Luv Kushh,TV-Y7,Kids TV,1,2
270,Parker,R,Action & Adventure,119,1
271,Safe Haven,PG-13,"Dramas, Romantic Movies",116,1
272,Moxie,PG-13,"Comedies, Dramas, Music & Musicals",112,1
273,Murder Among the Mormons,TV-14,"Crime TV Shows, Docuseries",1,2
274,Black or White,PG-13,Dramas,121,1
275,Indoo Ki Jawani,TV-14,"Action & Adventure, Comedies, International Movies",115,1
276,Word Party,TV-Y,Kids TV,5,2
277,A Perfect Day For Arsenide,TV-MA,"Classic & Cult TV, Crime TV Shows, International TV Shows",1,2
278,Banyuki,TV-PG,"Action & Adventure, Dramas, International Movies",182,1
279,Biggie: I Got a Story to Tell,R,"Documentaries, Music & Musicals",98,1
280,Pororo - The Little Penguin,TV-Y7,"Kids TV, Korean TV Shows",3,2
281,Blanche Gardin: The All-Nighter,TV-MA,Stand-Up Comedy,96,1
282,Connected,TV-G,"Documentaries, International Movies, Music & Musicals",42,1
283,Dances with Wolves,PG-13,"Action & Adventure, Classic Movies, Dramas",181,1
284,How to Be Really Bad,TV-14,"Comedies, International Movies",100,1
285,LEGO Marvel Spider-Man: Vexed by Venom,TV-Y,"Children & Family Movies, Comedies",22,1
286,Rain Man,R,"Classic Movies, Dramas",134,1
287,Seven Souls in the Skull Castle 2011,TV-14,"Action & Adventure, Dramas, International Movies",177,1
288,Tenacious D in The Pick of Destiny,R,"Comedies, Cult Movies, Music & Musicals",94,1
289,TIGER & BUNNY,TV-14,"Anime Series, International TV Shows",1,2
290,Bigfoot Family,TV-Y7,"Children & Family Movies, Comedies",88,1
291,Q-Force,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies",1,2
292,Captain Fantastic,R,"Comedies, Dramas, Independent Movies",119,1
293,Crazy About Her,TV-MA,"Comedies, International Movies, Romantic Movies",107,1
294,Fuga,TV-MA,"Dramas, Independent Movies, International Movies",112,1
295,Ginny & Georgia - The Afterparty,TV-MA,"Comedies, Dramas",35,1
296,No Escape,R,Action & Adventure,103,1
297,Our Idiot Brother,R,"Comedies, Dramas, Independent Movies",90,1
298,The Girl on the Train,TV-MA,"International Movies, Thrillers",120,1
299,Tony Manero,TV-MA,"Dramas, Independent Movies, International Movies",97,1
300,Who Am I,TV-MA,"International Movies, Thrillers",102,1
301,El final del paraíso,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1,2
302,Shikara,TV-14,"Dramas, International Movies, Romantic Movies",115,1
303,Geez & Ann,TV-PG,"Dramas, International Movies, Romantic Movies",106,1
304,Sin senos sí hay paraíso,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",3,2
305,The Last Bastion,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",1,2
306,Age of Samurai: Battle for Japan,TV-MA,"Docuseries, International TV Shows",1,2
307,"Blue, Painful, Fragile",TV-14,"International Movies, Thrillers",119,1
308,Canine Intervention,TV-PG,Reality TV,1,2
309,Ginny & Georgia,TV-14,"Romantic TV Shows, TV Comedies, TV Dramas",1,2
310,M8 - When Death Rescues Life,TV-MA,"Dramas, International Movies",84,1
311,Two Sentence Horror Stories,TV-14,"TV Horror, Teen TV Shows",2,2
312,Brian Regan: On the Rocks,TV-G,Stand-Up Comedy,58,1
313,A Cinderella Story,PG,"Children & Family Movies, Comedies",95,1
314,Made You Look: A True Story About Fake Art,TV-14,"Documentaries, International Movies",90,1
315,Pelé,TV-14,"Documentaries, International Movies, Sports Movies",109,1
316,Red,TV-14,"Dramas, International Movies",143,1
317,Zindagi in Short,TV-MA,"International TV Shows, TV Dramas",1,2
318,The Conjuring,R,"Horror Movies, Thrillers",112,1
319,The Conjuring 2,R,Horror Movies,134,1
320,Vincenzo,TV-14,"International TV Shows, TV Comedies, TV Dramas",1,2
321,Classmates Minus,TV-MA,"Comedies, Dramas, Independent Movies",123,1
322,Fate: The Winx Saga - The Afterparty,TV-14,"Comedies, Dramas",36,1
323,Operation Finale,PG-13,"Dramas, Thrillers",123,1
324,Agatha Christies Crooked House,PG-13,"Dramas, International Movies, Thrillers",115,1
325,Wave of Cinema: Surat dari Timur,TV-G,"Documentaries, International Movies, Music & Musicals",58,1
326,I Care a Lot,R,"Comedies, LGBTQ Movies, Thrillers",118,1
327,Love,TV-14,"Dramas, Independent Movies, International Movies",91,1
328,Perú: Tesoro escondido,TV-PG,"Documentaries, International Movies",76,1
329,Pitta Kathalu,TV-MA,"International TV Shows, TV Dramas",1,2
330,Tribes of Europa,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",1,2
331,Eeb Allay Ooo!,TV-MA,"Comedies, Dramas, Independent Movies",97,1
332,"Hello, Me!",TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",1,2
333,No Escape Room,TV-14,Horror Movies,85,1
334,Sisyphus,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",1,2
335,Je Suis Karl,TV-MA,"Dramas, International Movies",127,1
336,An Unfinished Life,PG-13,Dramas,108,1
337,Thus Spoke Kishibe Rohan,TV-MA,"Anime Series, International TV Shows",1,2
338,Amend: The Fight for America,TV-MA,Docuseries,1,2
339,Behind Her Eyes,TV-MA,"British TV Shows, International TV Shows, TV Dramas",1,2
340,MeatEater,TV-14,"Docuseries, Reality TV, Science & Nature TV",4,2
341,The Most Unknown,TV-PG,Documentaries,92,1
342,Animals on the Loose: A You vs. Wild Movie,TV-PG,Children & Family Movies,139,1
343,Awara Paagal Deewana,TV-14,"Action & Adventure, Comedies, Dramas",162,1
344,Good Girls,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",3,2
345,The Resurrection of Gavin Stone,PG,"Children & Family Movies, Comedies, Dramas",92,1
346,Booba,TV-Y7,"Kids TV, TV Comedies",4,2
347,Barbie Big City Big Dreams,TV-Y,"Children & Family Movies, Music & Musicals",63,1
348,"My Teacher, My Obsession",TV-14,Thrillers,86,1
349,The Crew,TV-14,TV Comedies,1,2
350,Namaste Wahala,TV-14,"Comedies, Dramas, International Movies",107,1
351,Monsoon,TV-MA,"Dramas, Independent Movies, LGBTQ Movies",85,1
352,Buried by the Bernards,TV-14,Reality TV,1,2
353,Chappelles Show,TV-MA,TV Comedies,2,2
354,Hate by Dani Rovira,TV-MA,Stand-Up Comedy,83,1
355,Mundina Nildana,TV-MA,"Dramas, International Movies, Romantic Movies",104,1
356,Nadiya Bakes,TV-G,"British TV Shows, International TV Shows, Reality TV",1,2
357,To All The Boys: Always And Forever,TV-14,"Comedies, Romantic Movies",116,1
358,Blade Runner: The Final Cut,R,"Action & Adventure, Classic Movies, Cult Movies",117,1
359,Xicos Journey,TV-Y7,Children & Family Movies,87,1
360,Capitani,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",1,2
361,El Chema,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure",1,2
362,Growing up and other problems,TV-14,"Comedies, Dramas, International Movies",91,1
363,Layla Majnun,TV-14,"Dramas, International Movies, Romantic Movies",119,1
364,Middle of Nowhere,R,"Dramas, Independent Movies, Romantic Movies",102,1
365,Red Dot,TV-MA,"International Movies, Thrillers",86,1
366,Squared Love,TV-14,"Comedies, International Movies, Romantic Movies",102,1
367,This Is the Life,TV-MA,"Documentaries, Music & Musicals",98,1
368,Crime Scene: The Vanishing at the Cecil Hotel,TV-MA,"Crime TV Shows, Docuseries",1,2
369,Brave Animated Series,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",1,2
370,The Misadventures of Hedi and Cokeman,TV-MA,"Comedies, International Movies",99,1
371,The World We Make,PG,"Dramas, Romantic Movies",108,1
372,Five Came Back: The Reference Films,TV-MA,TV Shows,1,2
373,ICarly,TV-G,"Kids TV, TV Comedies",2,2
374,War Dogs,R,"Comedies, Dramas",114,1
375,Monster Run,TV-14,"Action & Adventure, International Movies",104,1
376,The Sinner,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",3,2
377,Blanche Gardin: I talk to myself,TV-MA,Stand-Up Comedy,88,1
378,Doob: No Bed of Roses,TV-PG,"Dramas, Independent Movies, International Movies",104,1
379,Hache,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2,2
380,Chappie,R,"Action & Adventure, Sci-Fi & Fantasy",121,1
